anxiety_level,self_esteem,mental_health_history,depression,headache,blood_pressure,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,target,mental_health_score,physical_score,environment_score,social_score
10,16,1,12,2,1,2,2,3,3,3,2,2,2,3,2,2,3,2,3,1,9.75,1.75,2.75,2.5
10,21,0,9,2,1,2,2,3,2,3,3,2,3,3,2,3,3,3,3,1,10.0,1.75,2.75,3.0
10,23,0,13,2,1,3,4,3,2,2,2,3,2,3,2,3,2,3,2,1,11.5,2.5,2.25,2.5
1,27,0,6,1,2,4,1,1,4,4,5,5,1,5,1,3,1,2,1,0,8.5,2.0,3.5,1.75
18,13,1,23,3,3,1,3,5,2,1,1,2,4,2,5,1,4,4,4,2,13.75,2.5,2.25,3.25
3,29,0,5,1,2,5,1,2,4,5,4,5,1,5,1,3,1,2,1,0,9.25,2.25,3.75,1.75
6,27,0,8,1,2,4,2,1,3,4,4,4,1,5,1,3,2,2,1,0,10.25,2.25,3.0,2.0
7,30,0,7,1,2,4,1,2,4,4,4,4,2,5,1,3,2,2,1,0,11.0,2.0,3.5,2.0
3,29,0,7,1,2,4,1,1,3,4,5,5,1,5,1,3,1,1,1,0,9.75,2.0,3.25,1.5
17,7,0,14,0,3,2,1,3,5,1,3,5,5,1,4,0,5,4,0,1,9.5,1.5,3.0,2.25
11,22,1,12,2,1,2,2,3,2,2,2,3,2,3,3,2,3,3,2,1,11.5,1.75,2.25,2.5
9,17,0,12,3,1,3,2,2,2,2,3,2,2,3,3,2,3,3,2,1,9.5,2.25,2.25,2.5
16,9,1,17,3,3,1,3,4,1,2,1,1,3,1,5,1,5,4,4,2,10.75,2.5,2.0,3.5
13,23,0,11,3,1,2,2,3,3,3,3,2,3,2,2,3,2,3,2,1,11.75,2.0,3.0,2.5
13,19,0,11,2,1,2,4,3,2,2,2,3,2,2,3,2,3,3,3,1,10.75,2.25,2.25,2.75
9,29,1,26,5,3,0,1,2,0,5,0,1,4,0,0,1,5,2,5,1,16.25,2.25,1.75,3.25
16,15,0,14,4,3,4,5,1,2,2,5,3,1,1,1,1,5,2,2,2,11.25,4.0,2.5,2.5
9,25,1,9,2,1,2,4,3,2,3,2,3,2,2,3,3,3,3,3,1,11.0,2.25,2.5,3.0
2,26,0,4,1,2,4,1,1,3,4,4,4,2,4,1,3,2,1,1,0,8.0,2.0,3.0,1.75
13,16,1,14,3,1,2,2,2,2,2,2,3,3,3,3,2,3,2,3,1,11.0,2.0,2.0,2.5
7,26,0,2,1,2,4,1,1,3,4,4,5,2,4,1,3,1,1,1,0,8.75,2.0,3.0,1.5
21,0,1,25,3,3,1,4,5,1,2,1,1,3,1,4,1,5,4,4,2,11.75,2.75,2.25,3.5
12,24,1,13,2,1,2,4,3,2,2,3,2,2,3,2,3,2,3,3,1,12.5,2.25,2.5,2.75
5,27,0,6,1,2,4,1,2,4,5,4,4,2,4,1,3,1,2,1,0,9.5,2.0,3.75,1.75
10,20,1,6,1,3,3,1,5,4,4,3,1,4,2,0,0,0,1,3,0,9.25,2.0,4.0,1.0
11,20,1,11,2,1,2,2,2,3,2,2,3,2,3,2,3,2,3,3,1,10.75,1.75,2.25,2.75
12,17,0,13,3,1,2,2,3,2,3,2,3,2,2,3,2,3,2,3,1,10.5,2.0,2.5,2.5
15,0,1,19,4,3,1,3,4,2,1,2,2,4,1,5,1,5,5,4,2,8.75,2.75,2.25,3.75
12,10,0,21,4,3,5,0,2,4,2,4,2,1,2,5,1,2,4,4,0,10.75,3.0,3.0,2.75
11,23,0,12,3,1,2,2,3,2,3,3,2,3,2,2,3,3,2,3,1,11.5,2.0,2.75,2.75
14,25,0,11,2,1,3,2,3,3,3,2,2,2,2,3,3,2,2,2,1,12.5,2.0,2.75,2.25
19,13,1,21,5,3,1,5,5,2,2,2,1,3,1,4,1,5,5,5,2,13.5,3.5,2.75,4.0
11,21,0,9,2,1,3,4,2,2,2,3,3,3,3,2,3,3,2,2,1,10.25,2.5,2.25,2.5
2,27,0,8,1,2,5,1,2,4,4,5,5,2,4,1,3,1,1,1,0,9.25,2.25,3.75,1.5
13,23,0,13,2,1,3,2,3,2,3,3,3,3,2,2,2,2,3,3,1,12.25,2.0,2.75,2.5
10,24,1,10,2,1,2,2,2,2,3,3,2,3,3,2,2,3,3,3,1,11.25,1.75,2.5,2.75
18,8,1,24,5,3,1,4,4,1,2,1,2,5,1,5,1,4,4,5,2,12.75,3.25,2.0,3.5
7,30,0,5,1,2,4,2,1,4,4,4,4,1,4,1,3,2,2,1,0,10.5,2.25,3.25,2.0
9,17,0,14,2,1,3,4,3,2,3,3,3,3,3,3,3,3,3,3,1,10.0,2.5,2.75,3.0
7,25,0,2,1,2,5,1,2,4,5,4,4,2,5,1,3,1,1,1,0,8.5,2.25,3.75,1.5
16,10,1,18,5,3,1,3,3,1,2,2,2,4,1,5,1,5,4,4,2,11.25,3.0,2.0,3.5
13,17,1,11,3,1,3,4,3,2,3,3,3,3,2,2,3,3,3,2,1,10.5,2.75,2.75,2.75
18,7,1,21,3,3,1,4,4,2,2,2,2,3,1,5,1,4,5,4,2,11.75,2.75,2.5,3.5
0,27,0,3,1,2,5,1,2,4,5,4,4,2,4,1,3,2,2,1,0,7.5,2.25,3.75,2.0
7,13,1,18,4,3,5,0,0,0,0,0,1,5,4,2,0,2,5,5,2,9.75,3.0,0.0,3.0
5,30,0,0,1,2,5,2,1,4,5,4,5,1,4,1,3,1,1,1,0,8.75,2.5,3.5,1.5
13,25,1,12,2,1,2,2,3,3,2,3,3,2,2,3,3,3,2,2,1,12.75,1.75,2.75,2.5
15,11,1,21,3,3,1,4,3,2,1,1,2,3,1,5,1,5,5,4,2,12.0,2.75,1.75,3.75
9,20,0,9,3,1,3,4,2,2,3,3,3,3,2,2,2,2,2,3,1,9.5,2.75,2.5,2.25
15,9,1,27,4,3,1,4,5,2,1,2,2,3,2,4,1,4,4,4,2,13.0,3.0,2.5,3.25
12,17,0,13,2,1,3,4,3,2,2,2,3,2,3,2,2,2,3,2,1,10.5,2.5,2.25,2.25
17,10,1,22,4,3,1,3,3,1,2,1,1,5,1,5,1,5,5,5,2,12.5,2.75,1.75,4.0
19,1,1,26,4,3,1,4,5,1,2,1,1,4,1,5,1,4,5,4,2,11.75,3.0,2.25,3.5
20,6,1,25,5,3,1,4,3,2,1,1,2,4,2,5,1,5,5,5,2,13.0,3.25,1.75,4.0
1,29,0,4,1,2,5,1,2,4,5,5,5,2,5,1,3,2,2,1,0,8.5,2.25,4.0,2.0
18,14,1,20,5,3,1,3,4,2,2,1,2,3,2,4,1,4,4,5,2,13.25,3.0,2.25,3.5
7,24,1,3,0,3,0,2,5,4,4,0,1,5,3,1,1,5,0,0,0,8.75,1.25,3.25,1.5
13,20,0,12,3,1,2,2,2,2,2,3,2,3,2,2,2,3,2,3,1,11.25,2.0,2.25,2.5
10,21,0,13,3,1,3,4,2,2,3,3,2,3,3,3,3,3,2,3,1,11.0,2.75,2.5,2.75
18,6,1,27,5,3,1,5,3,2,2,1,1,3,1,4,1,5,5,4,2,13.0,3.5,2.0,3.75
10,19,0,11,3,1,3,4,2,2,2,2,3,3,2,2,3,3,3,3,1,10.0,2.75,2.0,3.0
13,16,0,14,2,1,2,2,2,2,2,2,2,3,2,2,3,2,3,2,1,10.75,1.75,2.0,2.5
0,26,0,8,1,2,4,2,2,4,4,4,4,1,5,1,3,1,1,1,0,8.5,2.25,3.5,1.5
6,28,0,1,1,2,4,2,1,4,5,4,5,1,5,1,3,2,2,1,0,8.75,2.25,3.5,2.0
1,28,0,7,1,2,4,2,2,4,5,4,4,1,4,1,3,2,1,1,0,9.0,2.25,3.75,1.75
2,2,1,12,4,3,0,0,3,5,4,1,2,0,2,2,1,4,0,2,0,4.25,1.75,3.25,1.75
7,29,0,8,1,2,4,2,2,4,5,4,4,1,5,1,3,1,2,1,0,11.0,2.25,3.75,1.75
13,15,1,14,2,1,3,4,3,2,2,3,3,3,3,2,3,2,2,2,1,10.75,2.5,2.5,2.25
21,8,1,27,4,3,1,5,5,1,2,2,1,5,2,5,1,4,4,5,2,14.25,3.25,2.5,3.5
19,1,1,27,4,3,1,3,5,1,1,1,2,4,2,4,1,4,5,4,2,12.0,2.75,2.0,3.5
21,3,1,25,4,3,1,5,5,1,1,2,2,3,2,4,1,4,4,4,2,12.5,3.25,2.25,3.25
2,23,0,26,4,3,5,0,4,2,2,0,3,1,2,5,1,5,2,3,0,12.75,3.0,2.0,2.75
2,28,0,3,1,2,4,2,1,3,4,4,4,2,5,1,3,1,2,1,0,8.25,2.25,3.0,1.75
19,8,1,15,3,3,1,3,5,2,2,2,1,5,2,5,1,5,5,5,2,10.75,2.5,2.75,4.0
18,6,1,23,5,3,1,5,4,2,2,1,1,3,2,4,1,5,4,5,2,12.0,3.5,2.25,3.75
14,24,0,11,2,1,3,4,2,2,3,2,3,2,2,2,3,3,2,3,1,12.25,2.5,2.25,2.75
5,26,0,0,1,2,4,1,2,4,4,4,5,2,5,1,3,2,1,1,0,7.75,2.0,3.5,1.75
13,14,0,0,4,3,5,5,2,0,2,3,1,5,3,3,0,1,3,3,1,6.75,4.25,1.75,1.75
19,13,1,26,3,3,1,5,5,2,1,1,2,5,2,4,1,4,4,4,2,14.75,3.0,2.25,3.25
20,3,1,20,4,3,1,4,3,1,2,1,2,4,1,4,1,4,5,4,2,11.0,3.0,1.75,3.5
7,25,0,8,1,2,5,2,1,4,4,4,4,2,4,1,3,1,1,1,0,10.0,2.5,3.25,1.5
10,20,1,13,3,1,2,4,3,3,2,3,3,2,2,2,2,3,3,3,1,11.0,2.5,2.75,2.75
11,18,1,13,3,1,2,4,3,3,3,3,2,3,2,2,3,2,3,2,1,10.75,2.5,3.0,2.5
10,25,1,10,2,1,3,2,3,3,2,3,3,3,3,3,3,3,3,2,1,11.5,2.0,2.75,2.75
2,28,0,7,1,2,5,2,2,4,5,4,5,2,4,1,3,2,2,1,0,9.25,2.5,3.75,2.0
9,29,0,6,3,3,4,0,5,0,2,4,5,5,1,3,1,5,4,0,0,11.0,2.5,2.75,2.5
8,28,0,5,1,2,5,1,2,3,4,5,4,1,5,1,3,1,1,1,0,10.25,2.25,3.5,1.5
5,29,0,8,1,2,5,2,1,4,5,4,4,2,4,1,3,1,1,1,0,10.5,2.5,3.5,1.5
18,8,1,19,3,3,1,3,4,1,1,1,2,3,2,4,1,4,4,5,2,11.5,2.5,1.75,3.5
15,30,0,7,3,3,4,0,0,0,0,2,5,2,2,4,0,5,4,1,1,13.0,2.5,0.5,2.5
17,3,1,16,3,3,1,4,4,2,2,1,2,4,2,4,1,4,4,4,2,9.25,2.75,2.25,3.25
3,30,0,0,1,2,5,2,1,3,4,5,5,1,4,1,3,1,2,1,0,8.25,2.5,3.25,1.75
1,16,1,26,3,3,3,1,2,3,0,0,4,2,2,4,1,2,0,0,1,11.0,2.5,1.25,0.75
12,16,0,13,2,1,3,4,3,3,2,2,2,2,2,2,3,3,2,3,1,10.25,2.5,2.5,2.75
9,23,0,13,2,1,2,2,2,2,2,3,3,3,3,2,3,3,3,2,1,11.25,1.75,2.25,2.75
4,27,0,6,1,2,5,2,2,3,4,4,4,2,4,1,3,2,2,1,0,9.25,2.5,3.25,2.0
9,23,0,9,2,1,2,2,2,3,3,2,3,3,2,2,2,3,2,3,1,10.25,1.75,2.5,2.5
6,29,0,2,1,2,4,1,1,3,4,5,5,2,4,1,3,1,1,1,0,9.25,2.0,3.25,1.5
12,1,0,4,2,3,5,1,4,1,3,0,5,1,0,4,0,5,1,3,2,4.25,2.75,2.0,2.25
13,16,1,11,2,1,3,2,2,3,3,2,3,2,3,3,2,3,2,3,1,10.25,2.0,2.5,2.5
15,4,1,22,4,3,1,4,5,2,2,2,2,3,2,5,1,5,5,4,2,10.5,3.0,2.75,3.75
3,26,0,8,1,2,4,1,2,3,4,5,5,2,4,1,3,1,1,1,0,9.25,2.0,3.5,1.5
18,0,1,21,3,3,1,5,3,2,2,2,2,4,1,5,1,4,5,4,2,10.0,3.0,2.25,3.5
12,22,0,9,2,1,2,2,3,3,2,3,3,3,3,3,3,2,3,3,1,10.75,1.75,2.75,2.75
17,29,1,17,5,3,5,2,4,0,0,3,5,0,2,5,0,0,0,3,0,16.0,3.75,1.75,0.75
3,28,0,2,1,2,4,1,1,4,4,5,4,1,5,1,3,1,2,1,0,8.25,2.0,3.5,1.75
13,21,1,12,3,1,3,4,2,2,2,2,2,3,2,3,2,3,3,3,1,11.75,2.75,2.0,2.75
11,22,1,24,2,3,4,2,4,0,1,3,0,3,1,1,0,1,4,1,2,14.5,2.75,2.0,1.5
20,3,1,26,3,3,1,3,3,1,1,2,1,4,1,5,1,4,5,5,2,12.5,2.5,1.75,3.75
3,26,0,1,1,2,4,1,2,4,4,5,4,1,4,1,3,2,1,1,0,7.5,2.0,3.75,1.75
3,29,0,8,1,2,4,2,1,4,5,4,4,1,4,1,3,2,2,1,0,10.0,2.25,3.5,2.0
4,26,0,8,1,2,5,1,2,3,5,5,4,1,4,1,3,1,2,1,0,9.5,2.25,3.75,1.75
16,15,1,22,3,3,1,3,5,1,2,2,1,4,2,4,1,4,5,4,2,13.5,2.5,2.5,3.5
14,19,0,13,2,1,3,4,2,3,2,3,3,3,2,2,3,2,2,3,1,11.5,2.5,2.5,2.5
15,12,1,27,3,3,1,5,4,1,2,1,2,3,1,4,1,5,4,5,2,13.75,3.0,2.0,3.75
10,24,1,12,3,1,2,4,3,2,2,3,3,2,3,2,2,3,2,3,1,11.75,2.5,2.5,2.5
5,26,0,1,1,2,4,1,1,3,5,5,4,2,4,1,3,1,1,1,0,8.0,2.0,3.5,1.5
3,27,0,1,1,2,4,1,1,3,5,5,4,1,4,1,3,1,2,1,0,7.75,2.0,3.5,1.75
7,30,0,1,1,2,5,2,2,4,5,5,5,1,5,1,3,2,2,1,0,9.5,2.5,4.0,2.0
10,23,0,13,3,1,3,4,3,2,3,3,2,2,3,2,3,2,2,3,1,11.5,2.75,2.75,2.5
9,22,0,12,3,1,3,2,2,3,2,3,3,2,2,2,2,3,2,2,1,10.75,2.25,2.5,2.25
15,1,1,25,4,3,1,4,3,1,1,2,1,3,1,5,1,5,4,4,2,10.5,3.0,1.75,3.5
15,12,1,24,5,3,1,4,5,1,1,2,1,4,2,4,1,5,4,4,2,13.0,3.25,2.25,3.5
19,15,1,18,5,3,1,5,3,2,1,2,2,5,1,5,1,4,5,5,2,13.25,3.5,2.0,3.75
21,19,1,24,2,3,4,4,3,4,0,0,3,3,3,2,0,3,1,5,1,16.25,3.25,1.75,2.25
4,26,0,6,1,2,4,2,1,4,4,4,5,2,4,1,3,1,1,1,0,9.0,2.25,3.25,1.5
6,26,0,7,1,2,4,2,1,3,5,5,5,2,4,1,3,1,1,1,0,9.75,2.25,3.5,1.5
15,6,1,21,4,3,1,5,4,2,2,2,1,4,2,4,1,5,4,5,2,10.75,3.25,2.5,3.75
10,22,0,10,3,1,2,2,2,3,2,3,2,2,3,2,2,2,2,2,1,10.5,2.0,2.5,2.0
6,5,0,19,3,3,0,2,3,1,0,5,4,2,0,4,0,5,3,5,0,7.5,2.0,2.25,3.25
11,22,1,14,2,1,3,4,2,3,2,3,3,3,3,3,3,2,3,3,1,12.0,2.5,2.5,2.75
8,28,0,8,1,2,5,2,2,4,4,5,4,2,4,1,3,1,2,1,0,11.0,2.5,3.75,1.75
20,5,1,20,3,3,1,4,3,1,2,2,2,5,2,4,1,5,5,4,2,11.5,2.75,2.0,3.75
18,28,1,7,0,3,5,2,0,5,4,4,1,5,3,5,0,0,0,5,2,13.5,2.5,3.25,1.25
8,28,0,0,1,2,5,1,1,3,5,4,5,1,4,1,3,1,1,1,0,9.0,2.25,3.25,1.5
13,20,1,12,3,1,2,4,2,2,2,2,2,2,3,2,2,2,3,3,1,11.5,2.5,2.0,2.5
20,6,1,21,5,3,1,4,4,1,1,2,2,3,1,5,1,5,4,4,2,12.0,3.25,2.0,3.5
19,2,1,24,5,3,1,4,4,1,1,1,2,3,2,4,1,4,5,5,2,11.5,3.25,1.75,3.75
9,19,1,10,2,1,2,2,3,3,2,2,3,2,3,3,3,3,3,3,1,9.75,1.75,2.5,3.0
6,29,0,3,1,2,5,2,1,4,5,4,5,1,4,1,3,1,1,1,0,9.5,2.5,3.5,1.5
15,12,1,16,4,3,1,4,4,2,1,2,1,3,2,4,1,5,4,5,2,11.0,3.0,2.25,3.75
11,17,0,14,3,1,3,4,2,2,3,3,3,3,2,3,2,2,2,2,1,10.5,2.75,2.5,2.0
16,12,1,23,5,3,1,3,4,2,1,2,2,4,2,4,1,4,5,4,2,13.0,3.0,2.25,3.5
19,13,1,25,3,3,1,3,5,1,1,1,1,3,2,5,1,4,4,4,2,14.5,2.5,2.0,3.25
13,20,0,9,2,1,3,4,3,3,3,2,3,2,3,2,3,3,3,3,1,10.5,2.5,2.75,3.0
20,9,1,25,4,3,1,3,4,1,1,2,1,4,1,4,1,5,4,4,2,13.75,2.75,2.0,3.5
17,11,1,21,5,3,1,4,3,2,1,1,1,4,1,5,1,5,4,4,2,12.5,3.25,1.75,3.5
21,12,1,25,3,3,1,3,5,1,1,2,2,4,2,4,1,5,4,4,2,14.75,2.5,2.25,3.5
1,21,0,11,3,3,5,1,4,3,1,5,0,4,2,3,1,0,2,1,1,8.25,3.0,3.25,1.0
12,18,1,9,3,1,2,2,2,3,3,2,2,3,3,3,2,2,2,3,1,10.0,2.0,2.5,2.25
18,13,1,23,5,3,1,3,3,2,1,2,1,4,2,5,1,4,5,4,2,13.75,3.0,2.0,3.5
6,13,0,20,0,3,2,1,2,4,1,5,3,2,1,2,1,0,5,2,0,9.75,1.5,3.0,2.0
14,23,1,10,3,1,3,4,2,2,2,3,2,3,3,3,2,2,2,3,1,12.0,2.75,2.25,2.25
5,30,0,3,1,2,5,1,1,3,4,4,5,2,4,1,3,1,1,1,0,9.5,2.25,3.0,1.5
21,1,1,17,3,3,1,4,5,1,1,1,1,4,2,5,1,5,5,5,2,10.0,2.75,2.0,4.0
8,29,1,2,2,3,0,4,1,4,4,5,0,0,0,5,1,4,5,2,1,10.0,2.25,3.5,3.0
11,15,1,9,2,1,2,4,3,3,3,2,3,3,3,2,3,3,2,2,1,9.0,2.25,2.75,2.5
7,27,0,8,1,2,4,1,2,3,4,4,5,2,4,1,3,2,1,1,0,10.5,2.0,3.25,1.75
12,23,1,13,2,1,2,4,2,3,3,3,2,2,2,3,3,2,3,2,1,12.25,2.25,2.75,2.5
14,23,0,12,2,1,3,4,3,2,3,2,2,2,2,2,3,2,2,2,1,12.25,2.5,2.5,2.25
16,4,1,26,4,3,1,4,5,2,1,1,2,5,1,4,1,5,5,4,2,11.75,3.0,2.25,3.75
17,0,1,27,5,3,1,5,3,1,2,1,2,4,1,5,1,5,4,5,2,11.25,3.5,1.75,3.75
0,25,0,5,1,2,5,1,1,4,4,5,5,1,5,1,3,1,2,1,0,7.5,2.25,3.5,1.75
18,8,1,19,3,3,1,3,4,1,1,2,2,5,1,4,1,5,5,5,2,11.5,2.5,2.0,4.0
11,20,1,13,3,1,3,2,3,3,2,3,3,3,2,3,3,3,2,2,1,11.25,2.25,2.75,2.5
4,29,0,4,1,2,5,1,2,3,4,5,4,1,4,1,3,1,1,1,0,9.25,2.25,3.5,1.5
9,16,0,13,3,1,3,4,2,2,2,3,2,2,3,3,3,2,2,2,1,9.5,2.75,2.25,2.25
3,26,0,8,1,2,5,2,1,4,4,4,4,2,4,1,3,1,2,1,0,9.25,2.5,3.25,1.75
7,29,0,5,1,2,4,1,1,3,4,4,5,1,5,1,3,2,1,1,0,10.25,2.0,3.0,1.75
16,9,1,26,5,3,1,4,3,1,1,2,1,4,1,4,1,5,4,5,2,13.0,3.25,1.75,3.75
11,16,0,13,2,1,2,2,3,3,2,3,3,2,3,2,3,3,3,3,1,10.0,1.75,2.75,3.0
15,11,1,24,4,3,1,4,3,2,2,1,1,3,2,4,1,4,4,5,2,12.75,3.0,2.0,3.5
4,29,0,2,1,2,4,2,1,3,4,4,4,2,5,1,3,1,1,1,0,8.75,2.25,3.0,1.5
1,29,0,5,1,2,5,2,1,3,4,5,4,1,5,1,3,2,1,1,0,8.75,2.5,3.25,1.75
9,22,0,12,3,1,3,2,2,2,3,3,3,3,2,2,2,3,3,2,1,10.75,2.25,2.5,2.5
12,17,1,9,3,1,3,4,3,2,2,3,2,3,3,3,3,3,3,2,1,9.75,2.75,2.5,2.75
11,15,0,10,2,1,3,2,2,3,3,2,2,2,2,2,3,3,3,3,1,9.0,2.0,2.5,3.0
8,4,1,16,5,3,4,2,3,0,3,4,4,0,2,1,0,1,5,1,2,7.25,3.5,2.5,1.75
12,17,1,25,3,3,3,4,0,0,2,4,3,5,0,3,0,0,0,5,0,13.75,3.25,1.5,1.25
14,22,1,11,2,1,3,2,3,2,3,3,3,2,2,2,2,2,3,3,1,12.0,2.0,2.75,2.5
14,17,1,10,2,1,2,4,3,3,2,3,2,2,2,3,3,3,2,3,1,10.5,2.25,2.75,2.75
12,17,1,12,3,1,3,4,3,2,3,2,2,2,2,2,2,2,2,3,1,10.5,2.75,2.5,2.25
11,20,0,12,2,1,3,2,2,3,3,2,3,3,3,2,3,3,2,3,1,10.75,2.0,2.5,2.75
10,25,0,9,2,1,2,2,3,3,3,2,3,2,2,3,2,2,2,2,1,11.0,1.75,2.75,2.0
8,28,0,6,1,2,4,1,2,3,4,5,5,1,5,1,3,1,1,1,0,10.5,2.0,3.5,1.5
12,28,0,24,1,3,2,4,1,2,1,5,4,0,0,2,0,3,5,2,1,16.0,2.5,2.25,2.5
12,16,0,13,2,1,3,4,3,3,3,2,3,3,3,2,3,2,2,2,1,10.25,2.5,2.75,2.25
7,25,0,0,1,2,4,1,1,4,4,5,5,1,5,1,3,2,1,1,0,8.0,2.0,3.5,1.75
12,17,1,13,3,1,3,2,3,3,2,2,2,3,3,3,3,2,3,2,1,10.75,2.25,2.5,2.5
3,25,0,6,1,2,5,2,1,3,4,5,4,2,4,1,3,2,2,1,0,8.5,2.5,3.25,2.0
2,27,0,7,1,2,4,1,2,3,5,4,4,1,5,1,3,1,1,1,0,9.0,2.0,3.5,1.5
12,18,1,14,2,1,2,2,2,2,3,2,2,3,3,2,2,3,2,2,1,11.25,1.75,2.25,2.25
11,23,0,12,2,1,3,4,3,2,3,2,3,3,2,3,3,3,3,2,1,11.5,2.5,2.5,2.75
14,23,0,11,2,1,2,2,2,2,2,3,3,2,2,2,2,3,3,2,1,12.0,1.75,2.25,2.5
4,29,0,6,1,2,5,1,2,3,5,4,5,2,5,1,3,2,2,1,0,9.75,2.25,3.5,2.0
9,20,1,11,3,1,3,4,3,2,2,3,2,2,2,3,2,2,2,3,1,10.25,2.75,2.5,2.25
12,22,0,20,5,3,4,1,3,3,5,1,2,2,4,0,0,0,3,0,1,13.5,3.25,3.0,0.75
15,7,1,21,4,3,1,3,5,2,1,2,1,3,1,5,1,4,4,5,2,11.0,2.75,2.5,3.5
20,4,1,22,5,3,1,5,5,2,2,1,1,5,2,5,1,5,5,4,2,11.75,3.5,2.5,3.75
2,30,0,8,1,2,5,2,1,3,5,5,4,2,5,1,3,2,1,1,0,10.0,2.5,3.5,1.75
5,15,1,7,0,3,1,1,3,5,3,1,1,1,4,3,1,2,5,5,2,7.0,1.25,3.0,3.25
4,27,0,5,1,2,4,2,1,4,4,5,5,2,5,1,3,1,2,1,0,9.0,2.25,3.5,1.75
5,20,0,3,2,3,4,3,5,0,0,1,3,0,2,3,0,2,0,3,1,7.0,3.0,1.5,1.25
21,7,1,20,4,3,1,4,5,2,2,2,1,4,2,4,1,5,4,4,2,12.25,3.0,2.75,3.5
3,26,0,8,1,2,4,2,1,4,5,5,4,2,4,1,3,1,1,1,0,9.25,2.25,3.75,1.5
12,24,1,9,2,1,2,2,2,2,3,2,2,2,3,2,2,3,2,2,1,11.5,1.75,2.25,2.25
10,17,1,10,3,1,2,2,3,2,3,3,2,2,3,2,3,2,2,2,1,9.5,2.0,2.75,2.25
19,2,1,18,4,3,1,3,5,1,2,2,1,3,1,5,1,5,5,4,2,10.0,2.75,2.5,3.75
11,20,1,10,3,3,2,0,3,4,2,4,1,2,3,2,0,0,2,3,1,10.5,2.0,3.25,1.25
13,16,1,13,2,1,3,2,2,3,3,3,2,3,3,2,2,3,3,2,1,10.75,2.0,2.75,2.5
11,17,0,14,3,1,3,2,2,2,2,3,2,2,2,3,3,2,3,3,1,10.5,2.25,2.25,2.75
19,3,1,21,3,3,1,4,4,2,2,2,2,4,2,4,1,4,4,5,2,11.0,2.75,2.5,3.5
19,0,1,24,4,3,1,4,3,2,1,1,2,5,2,5,1,4,4,4,2,11.0,3.0,1.75,3.25
2,28,0,2,1,2,4,2,2,4,5,5,4,2,5,1,3,1,2,1,0,8.0,2.25,4.0,1.75
1,30,0,0,1,2,4,1,1,3,5,4,4,2,4,1,3,2,1,1,0,7.75,2.0,3.25,1.75
20,11,0,8,0,3,1,4,3,1,0,5,0,0,4,4,1,3,1,2,0,9.75,2.0,2.25,1.75
20,14,1,15,5,3,1,5,4,2,2,2,2,4,2,5,1,5,5,5,2,12.5,3.5,2.5,4.0
18,6,1,15,3,3,0,3,3,0,4,3,3,4,3,3,1,5,1,4,2,10.0,2.25,2.5,2.75
12,19,1,12,2,1,3,4,3,2,2,2,3,2,3,3,3,2,2,3,1,11.0,2.5,2.25,2.5
15,6,1,26,3,3,1,5,4,1,1,2,1,4,1,5,1,5,5,5,2,12.0,3.0,2.0,4.0
21,13,1,16,4,3,1,4,5,1,1,2,1,5,1,4,1,4,5,4,2,12.75,3.0,2.25,3.5
5,30,0,7,1,2,5,2,1,3,5,4,5,1,5,1,3,1,2,1,0,10.5,2.5,3.25,1.75
8,28,0,2,1,2,4,2,1,4,5,4,5,1,4,1,3,1,1,1,0,9.5,2.25,3.5,1.5
6,29,0,0,0,3,2,5,0,3,4,0,2,5,2,0,1,4,0,2,1,8.75,2.5,1.75,1.75
1,26,0,2,1,2,4,2,1,4,4,5,4,1,5,1,3,1,1,1,0,7.25,2.25,3.5,1.5
3,28,0,2,1,2,4,1,1,3,4,5,4,1,4,1,3,1,2,1,0,8.25,2.0,3.25,1.75
19,7,1,11,1,3,3,4,4,4,0,1,5,5,0,3,0,3,3,2,1,9.5,2.75,2.25,2.0
5,25,1,12,4,3,4,4,5,4,2,3,4,3,2,2,1,0,1,0,0,10.75,3.75,3.5,0.5
16,3,1,27,4,3,1,4,5,2,1,2,1,4,2,4,1,4,5,5,2,11.75,3.0,2.5,3.75
17,1,1,15,4,3,1,5,5,2,2,2,2,3,2,5,1,5,4,4,2,8.5,3.25,2.75,3.5
12,17,1,5,2,3,2,0,4,3,1,0,0,5,1,5,1,0,0,4,0,8.75,1.75,2.0,1.25
16,13,1,25,3,3,1,4,4,1,1,2,1,4,2,4,1,4,4,4,2,13.75,2.75,2.0,3.25
9,21,0,12,2,1,3,4,3,2,3,3,3,3,2,3,3,3,3,2,1,10.5,2.5,2.75,2.75
5,30,0,3,1,2,5,2,1,4,4,5,5,2,5,1,3,1,1,1,0,9.5,2.5,3.5,1.5
13,17,0,11,3,1,3,4,2,2,2,3,2,3,3,2,2,3,3,3,1,10.25,2.75,2.25,2.75
1,8,1,1,4,3,0,0,0,0,0,4,2,1,0,2,0,1,4,3,2,2.75,1.75,1.0,2.0
17,9,1,27,3,3,1,5,5,2,2,1,1,5,2,4,1,5,5,4,2,13.5,3.0,2.5,3.75
10,18,1,9,2,1,3,2,3,2,3,2,3,3,2,3,3,3,3,2,1,9.5,2.0,2.5,2.75
